name	pop	cohort	sex	sample	group	famid
NA12877	EUR	HGSVC	M	NA12877	control	NA12877
NA12878	EUR	HGSVC	F	NA12878	control	NA12878
NA20503	EUR	HPRC	F	NA20503	control	NA20503
NA20762	EUR	HPRC	M	NA20762	control	NA20762
NA20806	EUR	HPRC	M	NA20806	control	NA20806
NA20827	EUR	HPRC	M	NA20827	control	NA20827
HG06807	AMR	HPRC	M	HG06807	control	HG06807
HG002	EUR	HPRC	M	HG002	control	HG002
HG00097	EUR	HPRC	F	HG00097	control	HG00097
HG00099	EUR	HPRC	F	HG00099	control	HG00099
HG00126	EUR	HPRC	M	HG00126	control	HG00126
HG00128	EUR	HPRC	F	HG00128	control	HG00128
HG00133	EUR	HPRC	F	HG00133	control	HG00133
HG00140	EUR	HPRC	M	HG00140	control	HG00140
HG00146	EUR	HPRC	F	HG00146	control	HG00146
HG00232	EUR	HPRC	F	HG00232	control	HG00232
HG00235	EUR	HPRC	F	HG00235	control	HG00235
HG00253	EUR	HPRC	F	HG00253	control	HG00253
HG00272	EUR	HPRC	F	HG00272	control	HG00272
HG00280	EUR	HPRC	M	HG00280	control	HG00280
HG00290	EUR	HPRC	M	HG00290	control	HG00290
HG00320	EUR	HPRC	F	HG00320	control	HG00320
HG00321	EUR	HPRC	M	HG00321	control	HG00321
HG00323	EUR	HPRC	F	HG00323	control	HG00323
HG00329	EUR	HPRC	M	HG00329	control	HG00329
HG00344	EUR	HPRC	F	HG00344	control	HG00344
HG00350	EUR	HPRC	F	HG00350	control	HG00350
HG00408	EAS	HPRC	F	HG00408	control	HG00408
HG00423	EAS	HPRC	F	HG00423	control	HG00423
HG00438	EAS	HPRC	F	HG00438	control	HG00438
HG005	EAS	HPRC	M	HG005	control	HG005
HG00544	EAS	HPRC	F	HG00544	control	HG00544
HG00558	EAS	HPRC	F	HG00558	control	HG00558
HG00597	EAS	HPRC	F	HG00597	control	HG00597
HG00609	EAS	HPRC	M	HG00609	control	HG00609
HG00621	EAS	HPRC	M	HG00621	control	HG00621
HG00639	AMR	HPRC	F	HG00639	control	HG00639
HG00642	AMR	HPRC	M	HG00642	control	HG00642
HG00658	EAS	HPRC	M	HG00658	control	HG00658
HG00673	EAS	HPRC	M	HG00673	control	HG00673
HG00706	EAS	HPRC	M	HG00706	control	HG00706
HG00733	AMR	HPRC	F	HG00733	control	HG00733
HG00735	AMR	HPRC	F	HG00735	control	HG00735
HG00738	AMR	HPRC	M	HG00738	control	HG00738
HG00741	AMR	HPRC	F	HG00741	control	HG00741
HG01071	AMR	HPRC	F	HG01071	control	HG01071
HG01074	AMR	HPRC	M	HG01074	control	HG01074
HG01081	AMR	HPRC	F	HG01081	control	HG01081
HG01099	AMR	HPRC	M	HG01099	control	HG01099
HG01106	AMR	HPRC	M	HG01106	control	HG01106
HG01109	AMR	HPRC	M	HG01109	control	HG01109
HG01123	AMR	HPRC	F	HG01123	control	HG01123
HG01150	AMR	HPRC	F	HG01150	control	HG01150
HG01167	AMR	HPRC	M	HG01167	control	HG01167
HG01175	AMR	HPRC	F	HG01175	control	HG01175
HG01192	AMR	HPRC	M	HG01192	control	HG01192
HG01243	AMR	HPRC	M	HG01243	control	HG01243
HG01252	AMR	HPRC	M	HG01252	control	HG01252
HG01255	AMR	HPRC	M	HG01255	control	HG01255
HG01258	AMR	HPRC	M	HG01258	control	HG01258
HG01261	AMR	HPRC	M	HG01261	control	HG01261
HG01346	AMR	HPRC	F	HG01346	control	HG01346
HG01358	AMR	HPRC	M	HG01358	control	HG01358
HG01361	AMR	HPRC	F	HG01361	control	HG01361
